filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
output/0x0a3fba29c8941fb09f6c712c06d2eade82df225b.sol,0x0a3fba29c8941fb09f6c712c06d2eade82df225b.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153261.1364849,612.8516020774841,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a4933dad3e19fd13232b4050dc566de961397ed.sol,0x0a4933dad3e19fd13232b4050dc566de961397ed.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680157008.4687808,27.111125469207764,0,{},{},{},{}
output/0x0a5155ad298ccfd1610a00ed75457eb2d8b0c701.sol,0x0a5155ad298ccfd1610a00ed75457eb2d8b0c701.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680156354.8826964,612.5790612697601,,{Exception_State_SWC_110},{},{},{DOCKER_TIMEOUT}
output/0x0a6460ee3a05ea700e77d63dbb19528fbaab0d4f.sol,0x0a6460ee3a05ea700e77d63dbb19528fbaab0d4f.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680159964.7421749,612.5268352031708,,{},{},{},{DOCKER_TIMEOUT}
output/0x0a6845ba10ce2aa0ef01ef5d23f63411232be78b.sol,0x0a6845ba10ce2aa0ef01ef5d23f63411232be78b.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153855.7514796,656.4657347202301,,{},{},{},{DOCKER_TIMEOUT}
output/0x0b1225323ff8dafee69643068bedbb0e351b8271.sol,0x0b1225323ff8dafee69643068bedbb0e351b8271.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680157830.7172136,612.9500048160553,,{},{},{},{DOCKER_TIMEOUT}
output/0x0b203383d4bbf67bae45ea93f993bc7f87098302.sol,0x0b203383d4bbf67bae45ea93f993bc7f87098302.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680152658.6589391,519.8883409500122,1,{Exception_State_SWC_110},{},{},{}
output/0x0b37045de7cb7e50950f24d8bc06ba1cae075f7f.sol,0x0b37045de7cb7e50950f24d8bc06ba1cae075f7f.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680149196.1633997,622.9988451004028,,{},{},{},{DOCKER_TIMEOUT}
output/0x0b37174581aae71b8a0ed01764b3ac21ff608d33.sol,0x0b37174581aae71b8a0ed01764b3ac21ff608d33.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680158410.654806,611.6611497402191,,{},{},{},{DOCKER_TIMEOUT}
output/0x0b39295cbcbc798fd726d5ddf329e53cf4bdee6d.sol,0x0b39295cbcbc798fd726d5ddf329e53cf4bdee6d.sol,mythril-0.23.15,solidity,2023/01/20,20230330_0405,1680153718.0731432,507.9055697917938,1,{External_Call_To_User_Supplied_Address_SWC_107},{},{},{}
